name,lat,lon
Altenfeld,50.57405270883231,10.990555302991867
Bentwisch,54.10086718918505,12.21673689147934
Dresden-Sued,50.991184489733776,13.84036959882559
Hamburg-Sued,53.516835864639674,9.914146108137174
Reuter,52.53162900329271,13.24896292449017
Wolkramshausen,51.44048287799108,10.735109199719613
Poland (PL),52.71332183993811, 15.806172566070797
Netherlands (NL),52.027324709934, 5.458677338176447
Austria (AT),47.79039380145816, 13.545924261975069
Czech Republic (CZ),50.13163060776545, 13.572054300429349
France (FR),48.31438678912545, 5.223506904331041